JobSat,Age,YearsCodePro,ConvertedComp,WorkWeekHrs,EdLevel
2,28.0,2.0,35518.0,40.0,Bachelor
5,29.0,4.0,64860.0,38.0,Master
5,46.0,28.0,81125.0,70.0,other
5,21.0,4.0,41244.0,40.0,Master
4,23.0,2.0,26808.0,35.0,Bachelor
2,40.0,23.0,82726.0,50.0,other
5,35.0,10.0,71093.0,45.0,Doctoral
5,43.0,20.0,117763.0,40.0,Doctoral
4,45.0,17.0,71345.0,37.5,other
3,20.0,2.0,19389.0,38.0,other
5,25.0,1.0,62774.0,35.0,Bachelor
5,30.0,10.0,114550.0,35.0,other
4,25.0,3.0,41247.0,38.0,Master
5,35.0,19.0,67008.0,60.0,other
4,27.0,3.0,54289.0,37.5,Bachelor
5,29.0,8.0,66156.0,37.0,other
5,56.0,15.0,54480.0,40.0,Master
2,36.0,4.0,37291.0,37.0,Bachelor
4,30.0,8.0,106874.0,45.0,Master
4,62.0,20.0,75669.0,40.784946236559136,Master
4,37.0,3.0,80202.0,45.0,Master
4,32.0,14.0,96243.0,50.0,other
5,27.0,4.0,27240.0,60.0,other
4,30.0,5.0,55569.0,40.0,Master
2,32.0,6.0,72966.0,37.0,Master
5,41.0,18.0,41077.0,45.0,Doctoral
5,25.0,2.0,91593.0,60.0,Master
4,24.0,1.0,43992.0,40.0,Master
4,31.0,5.0,78508.0,40.0,Doctoral
2,32.0,5.0,51704.0,35.0,Master
4,23.0,1.0,36664.0,39.0,Master
5,24.0,2.0,114575.0,40.0,Bachelor
2,41.0,5.0,82155.0,8.0,Doctoral
5,30.0,2.0,67861.0,35.0,Master
4,24.0,7.0,51704.0,37.0,other
5,35.0,4.0,76339.0,40.0,Master
4,20.9,3.0,41244.0,38.0,other
5,43.0,21.0,137409.0,48.0,other
2,40.0,10.0,89368.0,40.0,Doctoral
4,38.0,17.0,116333.0,38.0,Bachelor
5,41.0,19.0,124887.0,40.0,Bachelor
4,36.0,14.0,68041.0,35.0,Bachelor
5,42.0,10.0,65308.0,36.0,Master
1,53.0,28.0,58881.0,38.0,Bachelor
4,25.0,3.0,45830.0,40.0,Master
4,39.0,15.0,60972.0,40.0,Doctoral
2,30.0,2.0,29832.0,36.0,Bachelor
3,35.0,9.0,47105.0,40.0,Doctoral
5,27.0,4.0,88976.0,40.0,Doctoral
4,24.0,2.0,16860.0,18.0,Bachelor
5,33.0,0.0,41244.0,35.0,Master
5,29.0,2.0,45830.0,35.0,Master
2,30.0,9.0,85051.0,37.5,Bachelor
1,41.0,10.0,53647.0,55.0,Doctoral
1,22.0,0.0,49722.0,35.0,Bachelor
2,23.0,2.0,77832.0,40.0,Master
5,32.0,11.0,105409.0,45.0,other
5,31.0,5.0,83972.0,50.0,Doctoral
5,25.0,7.0,58368.0,40.0,Bachelor
4,21.0,4.0,56376.0,37.10531914893617,Bachelor
4,25.0,5.0,54956.0,37.5,other
5,25.0,3.0,71966.0,38.55821205821206,Bachelor
3,39.0,14.0,36664.0,40.0,other
