OrgSize_Empl219,WorkWeekHrs,YearsCodePro,Age1stCode,Country_Canada,Age,JobFactors_Idealist,LanguageWorkedWith_C,Country_Netherlands,Country_Finland,Country_France,ConvertedComp
0,45.0,2.0,16.0,0,25.0,1,1,1,0,0,45401.0
0,40.0,10.0,12.0,0,33.0,0,0,0,0,0,35748.0
0,37.5,1.0,8.0,0,35.0,1,0,0,0,0,41940.0
1,38.0,5.0,16.0,0,28.0,0,0,0,0,0,77556.0
0,40.0,6.0,7.0,0,32.0,1,0,0,0,0,87077.0
0,37.0,3.0,12.0,0,23.0,1,0,0,0,0,25944.0
1,40.0,3.0,11.0,1,22.0,1,0,0,0,0,38916.0
0,40.0,21.0,9.0,0,46.0,1,0,0,0,0,83194.0
0,40.0,9.0,23.0,0,36.0,0,1,1,0,0,75624.0
0,39.0,5.0,20.0,1,30.0,1,1,0,0,0,67599.0
0,40.0,11.0,12.0,0,35.0,0,0,1,0,0,73274.0
0,40.0,2.0,13.0,0,21.0,0,0,0,0,0,47648.0
1,45.0,16.0,11.0,0,34.0,0,0,0,0,1,93067.0
0,20.0,10.0,10.0,0,29.0,0,0,0,0,1,22824.0
0,40.0,5.0,17.0,1,30.0,0,0,0,0,0,38915.0
1,40.0,2.0,13.0,0,27.0,0,0,0,0,0,63016.0
1,10.0,4.0,15.0,0,23.0,0,1,0,0,0,5832.0
1,37.0,3.0,21.0,0,27.0,0,0,0,0,0,42656.0
0,38.0,12.0,13.0,0,42.0,0,0,0,0,0,60152.0
1,38.0,5.0,11.0,0,27.0,1,0,0,0,0,91593.0
1,70.0,23.0,11.0,0,42.0,0,1,0,0,0,52339.0
0,38.0,5.0,13.0,0,26.0,0,0,0,0,0,28105.0
0,20.0,26.0,7.0,0,47.0,0,0,0,1,0,65424.0
1,40.0,0.0,17.0,0,22.0,1,1,0,0,0,48121.0
0,45.0,1.0,20.0,0,26.0,0,0,0,0,0,52339.0
0,38.0,12.0,27.0,0,40.0,1,0,0,0,0,45396.0
0,40.0,9.0,16.0,1,31.0,1,0,0,0,0,61498.0
0,40.0,3.0,14.0,1,29.0,0,1,0,0,0,65424.0
0,45.0,4.0,22.0,0,29.0,1,1,0,0,0,54996.0
0,45.0,3.0,7.0,0,39.0,0,0,0,0,0,91660.0
0,40.0,10.0,20.0,1,31.0,0,0,0,0,0,81074.0
0,40.0,25.0,15.0,0,54.0,0,0,0,0,0,120304.0
0,50.0,25.0,13.0,0,42.0,1,1,0,0,0,106874.0
1,55.0,5.0,18.0,0,26.0,0,0,0,0,0,59454.0
1,38.0,15.0,10.0,0,39.0,0,0,0,0,0,38220.0
0,35.0,5.0,13.0,0,32.0,0,1,0,0,1,48384.0
0,40.0,35.0,27.0,0,64.0,0,1,0,0,0,90000.0
1,50.0,13.0,13.0,0,45.0,1,0,0,0,0,180963.0
1,16.0,3.0,19.0,0,27.0,1,0,0,0,0,41100.0
1,40.0,20.0,10.0,0,45.0,0,1,0,0,0,72522.0
0,40.0,7.0,29.0,1,42.0,0,1,0,0,0,84316.0
0,40.0,12.0,10.0,0,27.0,0,0,0,0,0,152677.0
0,40.0,1.0,31.0,0,32.0,0,0,0,0,0,28644.0
1,40.0,3.0,11.0,0,37.0,0,0,0,0,0,93951.0
0,40.0,10.0,10.0,0,36.0,1,0,0,0,0,65508.0
1,39.0,3.0,18.0,0,29.0,1,0,0,0,0,68745.0
1,40.0,5.0,15.0,0,30.0,0,1,0,0,0,79973.0
0,45.0,3.0,16.0,1,29.0,0,1,0,0,0,82380.0
0,39.0,7.0,14.0,1,31.0,1,0,0,0,0,37291.0
0,37.0,4.0,8.0,0,26.0,0,1,0,0,0,58881.0
0,40.0,7.0,14.0,0,26.0,0,1,1,0,0,48644.0
0,55.0,33.0,10.0,0,49.0,1,0,0,0,1,47567.0
0,37.0,6.0,16.0,0,27.0,0,0,1,0,0,70264.0
0,50.0,7.0,12.0,0,30.0,0,1,0,0,0,7634.0
1,39.0,8.0,14.0,1,27.0,0,0,0,0,0,54996.0
0,35.0,3.0,16.0,0,23.0,1,0,0,0,1,35329.0
0,10.0,2.0,14.0,0,26.0,0,0,1,0,0,7248.0
0,45.0,8.0,11.0,1,31.0,0,0,0,0,0,64859.0
0,35.0,0.0,32.0,0,34.0,0,0,0,0,0,30535.0
1,36.0,2.0,17.0,1,27.0,1,0,0,0,0,35747.0
0,37.0,4.0,14.0,0,29.0,0,0,0,1,0,72180.0
0,6.0,2.0,12.0,1,22.0,0,0,0,0,0,77832.0
0,36.0,22.0,17.0,1,53.0,0,0,0,0,0,75631.0
0,38.0,3.0,13.0,1,23.0,1,0,0,0,0,34591.0
0,40.0,5.0,10.0,0,27.0,0,0,0,0,0,52557.0
0,40.0,7.0,10.0,1,30.0,0,0,0,0,0,122142.0
0,16.0,0.0,14.0,0,21.0,0,0,0,0,0,11004.0
0,45.0,10.0,11.0,0,28.0,0,1,0,0,0,46704.0
0,15.0,3.0,12.0,0,21.0,0,0,0,0,0,12900.0
1,26.0,13.0,8.0,0,38.0,1,1,0,0,0,103117.0
0,42.0,20.0,14.0,0,38.0,0,0,0,0,0,36637.0
0,40.0,14.0,13.0,0,40.0,0,1,0,0,0,59124.0
0,40.0,12.0,12.0,0,36.0,0,0,0,0,0,85931.0
0,40.0,2.0,13.0,0,21.0,0,0,0,0,0,30252.0
0,37.0,2.0,22.0,0,25.0,1,0,0,0,0,28260.0
0,40.0,8.0,14.0,0,31.0,0,0,0,0,0,108098.0
0,40.0,22.0,14.0,0,37.0,0,0,0,0,0,74430.0
1,40.0,13.0,13.0,0,42.0,0,0,0,0,0,83972.0
0,40.0,10.0,25.0,0,39.0,0,0,0,0,0,38388.0
0,50.0,29.0,10.0,0,47.0,1,0,0,0,0,90758.0
0,45.0,1.0,18.0,0,35.0,1,1,0,0,1,68745.0
0,40.0,3.0,10.0,0,28.0,0,0,0,0,1,79512.0
0,37.0,5.0,12.0,1,28.0,0,0,0,0,0,54996.0
0,40.0,8.0,18.0,0,33.0,1,0,0,0,0,76765.0
0,38.0,3.0,12.0,0,26.0,1,0,0,0,0,63016.0
0,40.0,10.0,13.0,0,36.0,0,1,0,0,0,64620.0
0,45.0,3.0,18.0,0,25.0,0,0,0,0,0,65424.0
0,60.0,8.0,14.0,0,32.0,1,1,0,0,0,88553.0
0,48.0,12.0,12.0,0,31.0,0,0,0,0,0,57254.0
0,40.0,14.0,9.0,0,39.0,0,1,1,0,0,73678.0
0,50.0,8.0,17.0,1,34.0,1,1,0,0,0,51559.0
0,40.0,3.0,13.0,0,25.0,0,0,0,0,0,43308.0
0,38.0,11.0,16.0,0,34.0,0,0,1,0,0,39876.0
0,37.5,8.0,15.0,0,26.0,0,0,0,0,1,61071.0
0,40.0,0.0,27.0,0,31.0,0,1,0,0,0,41247.0
0,35.0,25.0,10.0,0,46.0,0,0,0,0,0,31128.0
0,35.0,3.0,13.0,0,24.0,1,0,0,0,0,41247.0
1,40.0,10.0,19.0,0,36.0,1,1,0,0,1,53437.0
0,50.0,12.0,14.0,0,33.0,0,0,0,0,0,122142.0
0,35.0,8.0,12.0,0,30.0,0,0,0,0,0,99444.0
