ConvertedComp,Prediction
32315.0,46789.35363035124
108576.0,93498.45749212684
77556.0,48826.35146121201
74970.0,94724.50162370942
124092.0,65864.17493255921
116333.0,71497.09528908279
37816.0,56028.13725000375
100000.0,62830.293033300804
48644.0,56898.615815754594
41597.0,50638.30654439098
60505.0,80084.47321273
41100.0,34289.31167461206
94539.0,78177.37876531857
48644.0,48327.895033282264
44595.0,58876.89361885556
42804.0,61192.98371050663
45396.0,59555.253098356996
24648.0,58297.17353208215
57480.0,62623.50387491512
136136.0,84261.69258397102
108098.0,79204.09066916333
87896.0,54085.950764765155
84019.0,56087.46653499958
64287.0,46760.40175559751
51704.0,50074.27567056015
43866.0,60578.85945255789
35849.0,46762.15955578246
151263.0,66375.90303075673
52942.0,80096.61209556692
40070.0,57892.16787344465
48950.0,38622.83889217011
98321.0,72912.43647524658
137271.0,69002.00320673446
42804.0,47307.60022269804
51888.0,50161.97355414054
35395.0,52914.61868007266
127056.0,65768.10045454901
75631.0,83265.07960873505
37816.0,56422.273435446325
151263.0,68820.13219509304
75631.0,71415.27853976673
25852.0,46359.72093607283
38778.0,54837.330304769726
109665.0,47541.300655669074
116333.0,86781.20002995992
64859.0,84199.20470706932
51887.0,74077.48364431999
64630.0,81148.5559763445
81074.0,97755.94772609738
59454.0,65074.11893217598
68068.0,58317.45032182612
37744.0,62297.24547712587
45379.0,57160.78421573922
60505.0,59555.494476408596
75631.0,74422.0747554369
86220.0,62725.83739824195
38916.0,81489.6370983592
42804.0,53036.2644939701
64630.0,83794.85469637736
83236.0,90090.89051483403
30000.0,46461.89107873521
37816.0,57612.38155404764
163368.0,62954.390815673505
55776.0,62376.857806398315
25944.0,68300.58783377905
46533.0,57802.349871367776
83194.0,83137.02974500848
32429.0,49676.349192340196
75669.0,83007.74592806371
56723.0,70600.82268929566
64859.0,55585.003107425204
90758.0,65181.55220152005
52186.0,77608.18548843675
56723.0,52070.92842823169
108098.0,69165.33818006386
43110.0,79395.18810834292
71850.0,71421.09912499314
64859.0,54645.508506114755
22620.0,49824.1606240856
30676.0,33192.685072439774
72966.0,75842.56545438549
50592.0,76965.27558618154
54480.0,83583.91506097058
81074.0,51104.753603444624
45396.0,64086.38250757753
12972.0,51119.730157693964
128573.0,113064.37938940019
24648.0,57017.810667055535
68068.0,69629.41172512801
103408.0,61534.87668163687
25944.0,56397.33785168285
51997.0,43982.70357493347
63337.0,73767.07886121186
45379.0,47987.18025154826
77522.0,49842.88164287667
35547.0,65881.31906798779
29730.0,19872.639796441003
54289.0,52046.54277064239
41077.0,52878.48541844198
86478.0,63357.74016031389
45396.0,51385.68005934738
67215.0,63202.42203248607
96945.0,77242.00662492673
31128.0,54440.77903153001
68068.0,56935.95641586743
18156.0,47688.16105675146
54076.0,64419.90841353289
71850.0,66615.87565777454
91883.0,56427.42529992602
79413.0,58036.62532667739
37672.0,61437.99302372028
54049.0,63768.305632887554
71340.0,76224.05872655007
86478.0,62538.38112114756
58992.0,57062.915025098635
62697.0,57569.50266506546
33510.0,61350.521633303724
81433.0,92231.74989117424
54480.0,60764.363717384724
83016.0,67624.0043995994
80000.0,69358.06088299851
73678.0,71493.04212349944
110800.0,82710.15155338499
58614.0,57609.14441232994
60505.0,66292.42396645476
32315.0,68911.26403277394
39328.0,56281.614079829924
49119.0,54023.026292210656
82155.0,74184.08394850961
109179.0,56966.22182567792
64287.0,57591.809228978855
193889.0,69881.33554727258
90482.0,94755.47586137737
58373.0,57393.725065234445
151250.0,97349.64196782288
83194.0,55499.26030215739
86150.0,88038.43341200866
46891.0,53251.1621687443
81074.0,80234.17108147906
6480.0,62362.585233069694
86478.0,63664.73457380845
62774.0,48194.841062504136
116.0,54399.40112128371
77832.0,21998.29827119354
19968.0,51119.85621060263
58368.0,60794.34376375034
84316.0,85365.42029840681
37816.0,63393.12233310974
103408.0,100686.7882794954
70337.0,67399.63728602623
70264.0,61436.60936333742
71093.0,96023.12113292253
58373.0,54988.744922236925
37485.0,50824.58818918938
64859.0,62001.784694556634
102693.0,75816.44550832422
67215.0,55242.780826853515
21720.0,80520.02999955234
94539.0,81758.70505593234
75631.0,97872.05971321055
77832.0,79189.12168911478
81074.0,76000.22920477066
40085.0,84893.27736438903
79413.0,71614.20467105512
129720.0,111329.49701192294
64287.0,71904.17905229324
129259.0,75199.20052936072
134430.0,82836.75076768037
51807.0,52049.0166534939
109871.0,63483.55843695035
98321.0,77921.71670494167
90758.0,79683.90195386249
86478.0,73135.1228962469
71850.0,68035.6731837863
137649.0,101169.31021643919
97288.0,60198.19987520529
45379.0,51755.41767748326
64287.0,70644.28606887057
120000.0,118334.21090772939
113447.0,80087.87733060034
60505.0,58114.87616191008
75631.0,85854.14563561551
64287.0,60973.70549435763
68068.0,62355.51870442784
83194.0,87842.09243746243
59454.0,54958.99516427293
98321.0,73634.50071237452
97288.0,110817.05280441258
116748.0,106753.85865669629
113503.0,88224.27195606341
59676.0,54927.28387782772
46704.0,65535.38285118728
60103.0,63015.33770372102
48000.0,65420.60737490361
58368.0,45785.56919220506
14268.0,43375.59877664534
84312.0,79688.75540898167
48000.0,55916.11130070955
69723.0,60689.292608374286
51704.0,97009.50003707093
28536.0,49676.76186742708
49725.0,46217.12314357315
80136.0,82577.77868575143
25944.0,51547.783973988306
33732.0,54890.29392263126
75669.0,51893.472103895394
36324.0,47852.62688935005
37834.0,47110.22652647774
82155.0,54072.80246962765
32424.0,52395.2172077031
52996.0,50557.2412872541
51887.0,70132.79934872464
14268.0,30216.19316869439
97288.0,55445.554435050224
28080.0,68005.50867605463
45396.0,84087.54383729822
62697.0,65980.55443765679
101649.0,69342.83349418509
50411.0,64583.266921556395
51563.0,61261.727598610865
57648.0,69684.70032538252
77832.0,76068.38744555962
12324.0,45963.465775164164
14268.0,43564.536721862634
38916.0,61768.67788683168
51617.0,59452.55431912703
59454.0,63408.44914642912
179231.0,61197.88496574284
56211.0,78031.11520562494
51888.0,58583.12602487654
76750.0,77902.28800485056
107449.0,90669.43266816548
33732.0,48742.33977407834
44100.0,53149.685564303865
38916.0,44675.24172167524
64630.0,55691.11839939877
43239.0,112811.51213236825
86478.0,74396.52297533647
44320.0,55233.81067086125
46482.0,57030.143693091595
34152.0,53622.275347359886
31128.0,48735.94507248149
81074.0,77536.08553798366
31888.0,41011.697391312446
46440.0,65675.6259866234
29184.0,49162.93182447675
54480.0,50708.52995460166
86478.0,70418.32734860675
68102.0,66264.95006760627
43239.0,51720.79043832984
25944.0,47616.6582200164
129718.0,61516.88256148433
45834.0,50856.10191372222
64859.0,63524.958232701465
37620.0,51533.306504142085
64859.0,61376.7503980056
67215.0,88263.38443181936
51888.0,78856.4419980192
69183.0,56862.14861725698
64859.0,55501.3068552679
67021.0,61887.468998603435
32424.0,47678.436921767694
58368.0,55031.282896716184
108098.0,90135.8102408559
38915.0,55157.55778952303
62913.0,66606.7082825026
56228.0,57478.81710870392
90758.0,102746.16268382428
71340.0,68338.0335903987
46482.0,49508.90749288583
32424.0,54610.90239221889
38915.0,53353.89913105308
51888.0,49066.1010190393
56211.0,58014.76185821553
47563.0,51166.4792105831
